id,kennel_id,name,address,city,state,zip_code,county,township,license_number,last_status,last_issued_license_year,last_license_class,details_url,created_at,updated_at
520,3050,Keeshond Heaven LLC,481 Sunday Road,,PA,,BERKS,Windsor,04341,Open,2026,K2: 51-100 dogs per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/3050,2025-12-18 14:57:53,2025-12-18 14:57:53
521,17107,"Landon's Kennels",1066 Mill Road,,PA,,BERKS,Bern,17245,Open,2025,BK1: 1-10 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17107,2025-12-18 14:57:54,2025-12-18 14:57:54
522,17855,Larry and Janita Brubaker,150 School Road,,PA,,BERKS,Marion,17991,Open,2026,K3: 101-150 dogs per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17855,2025-12-18 14:57:54,2025-12-18 14:57:54
523,18638,Leesport Pet Resort,221 Hafer Dr,,PA,,BERKS,Leesport,18772,Open,2026,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/18638,2025-12-18 14:57:54,2025-12-18 14:57:54
524,17126,Lazy K Bullies,56 Majestic Lane,,PA,,BERKS,Brecknock,17264,Closed - Voluntarily,2023,K2: 51-100 dogs per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17126,2025-12-18 14:57:55,2025-12-18 14:57:55
525,3664,Leesport Pet Resort LLC,221 Hafer Drive,,PA,,BERKS,Ontelaunee,04985,Closed - Voluntarily,2024,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/3664,2025-12-18 14:57:55,2025-12-18 14:57:55
526,13483,"Lena's Doggie Paradise",400 Fancy Hill Road,,PA,,BERKS,Upper Fredrick,14646,Open,2025,BK2: 11-25 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/13483,2025-12-18 14:57:55,2025-12-18 14:57:55
527,274,Linarry Kennels,1650 Bellemans Church Road,,PA,,BERKS,Center,01280,Open,2025,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/274,2025-12-18 14:57:55,2025-12-18 14:57:55
528,17599,Lovable Puppy Pals,5125 Kachel Rd.,,PA,,BERKS,Brecknock,17735,Open,2025,K3: 101-150 dogs per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17599,2025-12-18 14:57:56,2025-12-18 14:57:56
529,15755,Little Mountain Puppies,1000 Airport Road,,PA,,BERKS,Bethel,16896,Open,2026,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/15755,2025-12-18 14:57:56,2025-12-18 14:57:56
530,3958,"MaPaw Siberian Husky Rescue and Referral Services, Inc.",899 Douglass Drive,,PA,,BERKS,Douglass,05258,Closed - Voluntarily,2020,NP: Non-Profit,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/3958,2025-12-18 14:57:56,2025-12-18 14:57:56
531,279,Mar-Jo Kennel,900 Unger Lane,,PA,,BERKS,Colbrookdale,01285,Closed - Voluntarily,2023,BK1: 1-10 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/279,2025-12-18 14:57:56,2025-12-18 14:57:56
532,280,Mar-Jo Kennel,900 Unger Lane,,PA,,BERKS,Colbrookdale,01286,Open,2025,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/280,2025-12-18 14:57:57,2025-12-18 14:57:57
533,13317,"Michele's Pet Sitting",232 west Walnut Tree Rd,,PA,,BERKS,Maidencreek,14481,Closed - Voluntarily,2018,BK2: 11-25 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/13317,2025-12-18 14:57:57,2025-12-18 14:57:57
534,3901,"Mid Atlantic Great Dane Rescue League, Inc.",304 Hartz Road,,PA,,BERKS,Fleetwood,05214,Open,2025,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/3901,2025-12-18 14:57:57,2025-12-18 14:57:57
535,7068,Mid-Atlantic Jack Rescue,433 Keim Rd,,PA,,BERKS,Pike,08295,Closed - Voluntarily,2020,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/7068,2025-12-18 14:57:57,2025-12-18 14:57:57
536,15999,MLB Kennels,47 Sylvan Lane,,PA,,BERKS,N Heidelberg,17136,Open,2025,K2: 51-100 dogs per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/15999,2025-12-18 14:57:58,2025-12-18 14:57:58
537,15941,"Musser's Kennel",1210 Tulpehocken Road,,PA,,BERKS,Marian,17079,Closed - Voluntarily,2021,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/15941,2025-12-18 14:57:58,2025-12-18 14:57:58
538,15047,"Musser's Boarding Kennel",1210 Tulpehocken Rd,,PA,,BERKS,,16197,Closed - Voluntarily,2019,BK2: 11-25 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/15047,2025-12-18 14:57:58,2025-12-18 14:57:58
539,16008,Neverland K-9,7 Old Rte 22,,PA,,BERKS,Greenwich,17145,Open,2026,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/16008,2025-12-18 14:57:58,2025-12-18 14:57:58
540,16009,Neverland K-9,7 Old Rte 22,,PA,,BERKS,Greenwich,17146,Open,2026,BK2: 11-25 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/16009,2025-12-18 14:57:58,2025-12-18 14:57:58
541,17440,"Noah's Ark Project & Sanctuary",920 Ben Franklin Hwy E.,,PA,,BERKS,Amity,17576,Closed - Voluntarily,2021,NP: Non-Profit,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17440,2025-12-18 14:57:59,2025-12-18 14:57:59
